timestamp,plate_number,plate_type,plate_label,state_code,state_name,series,confidence,frame_saved
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012025.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012028.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012031.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012034.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012037.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012040.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012043.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012047.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012050.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012053.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012056.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012059.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012102.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012105.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012108.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012111.jpg
